product,entry,kegg,name,formula,metanetx,modelseed,bigg,chebi,metacyc,sabio_rk,reactome,smiles
alpha-ionone,C12286,C12286,alpha-Ionone,C13H20O,MNXM41318,cpd09059,,32319,,,,CC(=O)/C=C/C1C(C)=CCCC1(C)C
beta-ionone,C12287,C12287,beta-Ionone,C13H20O,MNXM5073,cpd09060,,32325,CPD-7204,14320,R-ALL-5164390,CC(=O)/C=C/C1=C(C)CCCC1(C)C
bisabolene,,,,,,,,,,,,
methyl ketone,,,,,,,,,,,,
Phosphoenolpyruvate,C00074,C00074,Phosphoenolpyruvate,C3H5O6P,MNXM73,cpd00061,pep,18021;44897;58702,PHOSPHO-ENOL-PYRUVATE,32,R-ALL-29492;R-ALL-372364,C=C(OP(=O)(O)O)C(=O)O
Malate,C00149,C00149,(S)-Malate,C4H6O5,MNXM1107192,cpd00130,mal__L,15589;30797,MAL,1918,R-ALL-113544;R-ALL-198498,O=C(O)C[C@H](O)C(=O)O
Malate,C00711,C00711,Malate,C4H6O5,MNXM1107193,cpd30742,,15595;6650,RS-Malate,2138,,O=C(O)CC(O)C(=O)O
3-methyl-1-butanol,,,,,,,,,,,,
"2,5-furandicarboxylic acid",,,,,,,,,,,,
trans-4-Hydroxy-L-proline,C01157,C01157,Hydroxyproline,C5H9NO3,MNXM736064,cpd00851,4hpro_LT,18095;58375,4-HYDROXY-L-PROLINE,2261,,O=C(O)[C@@H]1C[C@@H](O)CN1
dendroketose,,,,,,,,,,,,
dendroketose-1-phosphate,,,,,,,,,,,,
Cinnabarinic acid,C05640,C05640,Cinnavalininate,C14H8N2O6,MNXM7176,cpd03351,,140728;3715,CPD-16175,,,Nc1c(C(=O)O)c2nc3c(C(=O)O)cccc3oc-2cc1=O
"2,3-dihydroxybenzoic acid",C00196,C00196,"2,3-Dihydroxybenzoate",C7H6O4,MNXM455,cpd00168,23dhb,18026;36654,2-3-DIHYDROXYBENZOATE,1970,,O=C(O)c1cccc(O)c1O
Homogentisic acid,C00544,C00544,Homogentisate,C8H8O4,MNXM345,cpd00426,hgentis,16169;44747,HOMOGENTISATE,5134,R-ALL-30337,O=C(O)Cc1cc(O)ccc1O
Red Fluorescent Protein,,,,,,,,,,,,
Triosephosphate isomerase mRNA,,,,,,,,,,,,
Poly(D-lactate-co-glycolate-co-4-hydroxybutyrate,,,,,,,,,,,,
citramalic acid,C00815,C00815,Citramalate,C5H8O5,MNXM1107725,cpd00607;cpd01701,,13997;15584;29003;30936,CPD-14325;S-CITRAMALATE,,,CC(O)(CC(=O)O)C(=O)O
α-ketoglutaric acid,C00026,C00026,2-Oxoglutarate,C5H6O5,MNXM20,cpd00024,akg,16810;30915;30916,2-KETOGLUTARATE,1922,R-ALL-113594;R-ALL-113671;R-ALL-1650779;R-ALL-29406;R-ALL-389537;R-ALL-561075,O=C(O)CCC(=O)C(=O)O
ergosterol,C01694,C01694,Ergosterol,C28H44O,MNXM741449,cpd01170,ergst,16933,ERGOSTEROL,5736,,CC(C)[C@@H](C)/C=C/[C@@H](C)[C@H]1CC[C@H]2C3=CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C
extracellular 5-aminolevulinic acid,,,,,,,,,,,,
Glutamate dehydrogenase,,,,,,,,,,,,
(S)-2-chloropropionate,,,,,,,,,,,,
Fab' fragment heavy and light chain,,,,,,,,,,,,
Yersiniabactin,C12038,C12038,Yersiniabactin,C21H27N3O4S3,MNXM732724,cpd08829,,149525;29707,,,,CC(C)(C1=N[C@@](C)(C(=O)O)CS1)[C@H](O)[C@@H]1CSC([C@H]2CSC(c3ccccc3O)=N2)N1
anthranilate analog,,,,,,,,,,,,
"(2R,3R)-BDO",,,,,,,,,,,,
"(2R,3S)-BDO",,,,,,,,,,,,
hydrogen gas,,,,,,,,,,,,
hydrogen sulfide,C00283,C00283,Hydrogen sulfide,H2S,MNXM124865,cpd00239;cpd24697,HC00250;h2s,16136;29919;30488;30489;37180,CPD-846;HS,2007,R-ALL-1614532;R-ALL-1655881;R-ALL-1663154,S
3-mycarosylerythronolide B,,,,,,,,,,,,
erythromycin A,C01912,C01912,Erythromycin,C37H67NO13,MNXM1104010,cpd01313,,145339;42355;64268,CPD-13804,5882,,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O
free fatty acid,,,,,,,,,,,,
not specified,,,,,,,,,,,,
Tridecane,C13834,C13834,Tridecane,C13H28,MNXM725808,cpd09654,,35998,CPD-7949,,,CCCCCCCCCCCCC
Pentadecane,C08388,C08388,Pentadecane,C15H32,MNXM725163,cpd05300,,28897,CPD-7946,,,CCCCCCCCCCCCCCC
Glutamic acid,,,,,,,,,,,,
l-glutamate,C00025,C00025,L-Glutamate,C5H9NO4,MNXM741173,cpd00023,glu__L,16015;29985;29988,GLT,73,R-ALL-113552;R-ALL-210382;R-ALL-210509;R-ALL-29404;R-ALL-428614,N[C@@H](CCC(=O)O)C(=O)O
Carbon Dioxide,C00011,C00011,CO2,CO2,MNXM13,cpd00011,co2,139538;16526,CARBON-DIOXIDE,1266,R-ALL-113528;R-ALL-1237009;R-ALL-159751;R-ALL-159942;R-ALL-189480;R-ALL-29376;R-ALL-389536;R-ALL-5668565,O=C=O
2-ketoisovalerate,,,,,,,,,,,,
propylene glycol,C00583,C00583,"Propane-1,2-diol",C3H8O2,MNXM1118,cpd00453,,16997,DL-12-Propanediol,2107,,CC(O)CO
Free fatty acids,,,,,,,,,,,,
recombinant green fluorescent protein,,,,,,,,,,,,
Acetoin,C00466,C00466,Acetoin,C4H8O2,MNXM1092472,,R_actn,15688,ACETOIN,2054,,CC(=O)C(C)O
gamma-aminobutyric acid,C00334,C00334,4-Aminobutanoate,C4H9NO2,MNXM192,cpd00281,4abut,16865;30566;59888,4-AMINO-BUTYRATE,2021,R-ALL-352003;R-ALL-352011;R-ALL-428571;R-ALL-916850;R-ALL-936479,NCCCC(=O)O
"Trans-2, 3-dihydro-3-hydroxyanthranilic acid",C19830,C19830,"(5S,6S)-6-Amino-5-hydroxycyclohexa-1,3-diene-1-carboxylate",C7H9NO3,MNXM3745,cpd17077,,60844;60849,CPD-9518,,,N[C@H]1C(C(=O)O)=CC=C[C@@H]1O
Glutaconic acid,C02214,C02214,(E)-Glutaconate,C5H6O4,MNXM733969,cpd01492,glutcon,15670;36460,GLUTACONATE,6074,,O=C(O)/C=C/CC(=O)O
CV2025 ω-Transaminase,,,,,,,,,,,,
D-Lactic acid,C00256,C00256,(R)-Lactate,C3H6O3,MNXM731834,cpd00221,lac__D,16004;42111,D-LACTATE,1997;2284,,C[C@@H](O)C(=O)O
C16:1 and C18:1 contents in E. coli XL1-Blue strain expressing PtTE,,,,,,,,,,,,
Ergosterol,C01694,C01694,Ergosterol,C28H44O,MNXM741449,cpd01170,ergst,16933,ERGOSTEROL,5736,,CC(C)[C@@H](C)/C=C/[C@@H](C)[C@H]1CC[C@H]2C3=CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C
Squalene,C00751,C00751,Squalene,C30H50,MNXM1104376,cpd00559,sql,15440,SQUALENE,5212,R-ALL-191269,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C=C(\C)CC/C=C(\C)CCC=C(C)C
Genomic DNA,,,,,,,,,,,,
12-carbon fatty acid,,,,,,,,,,,,
14-carbon fatty acid,,,,,,,,,,,,
Linear DNA ETs for each gene target,,,,,,,,,,,,
Total protein,,,,,,,,,,,,
Plasmid expression vectors,,,,,,,,,,,,
Nucleoside diphosphate kinase,,,,,,,,,,,,
extracellular proteins,,,,,,,,,,,,
growth on xylose,,,,,,,,,,,,
"co-consumption of glucose, xylose, and arabinose",,,,,,,,,,,,
Glutathione S-transferase fusions,,,,,,,,,,,,
Maltose-binding protein,,,,,,,,,,,,
single-chain variable fragment,,,,,,,,,,,,
alpha-MBP Immunoglobulin G,,,,,,,,,,,,
alpha-MBP-scFv,,,,,,,,,,,,
α-MBP-scFv::MBP complex,,,,,,,,,,,,
Methionine sulfoxide reductase A,,,,,,,,,,,,
Cys mutant form of Clostridium MsrA,,,,,,,,,,,,
Carbon dioxide,C00011,C00011,CO2,CO2,MNXM13,cpd00011,co2,139538;16526,CARBON-DIOXIDE,1266,R-ALL-113528;R-ALL-1237009;R-ALL-159751;R-ALL-159942;R-ALL-189480;R-ALL-29376;R-ALL-389536;R-ALL-5668565,O=C=O
globotetraose,,,,,,,,,,,,
globopentaose,,,,,,,,,,,,
Astaxanthin,C08580,C08580,Astaxanthin,C40H52O4,MNXM4475,cpd05487;cpd24923,,40968,CPD-7847,,,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C2=C(C)C(=O)[C@@H](O)CC2(C)C)C(C)(C)C[C@H](O)C1=O
Taxol,,,,,,,,,,,,
isoamyl acetate,C12296,C12296,Isoamyl acetate,C7H14O2,MNXM7451,cpd09068,iamac,31725,CPD-19626,14329,,CC(=O)OCCC(C)C
Hyaluronan,C00518,C00518,Hyaluronate,(C14H21NO12)n,MNXM731995,,,,,,,*O[C@@H]1O[C@H](C(=O)O)[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O*)[C@H]2NC(C)=O)[C@H](O)[C@H]1O
tetrachloroethylene,,,,,,,,,,,,
trichloroethylene,C06790,C06790,Trichloroethene,C2HCl3,MNXM1198,cpd04167,,16602,TRICHLOROETHENE,,,ClC=C(Cl)Cl
phenylalanine,C02057,C02057,Phenylalanine,C9H11NO2,MNXM741663,cpd01400,,28044;32504;32505;76052,,,,NC(Cc1ccccc1)C(=O)O
ethylene glycol degradation rate,,,,,,,,,,,,
Xylonate,,,,,,,,,,,,
Arabinoate,,,,,,,,,,,,
Hydrogen peroxide,C00027,C00027,Hydrogen peroxide,H2O2,MNXM732620,cpd00025,h2o2,16240;29192,HYDROGEN-PEROXIDE,1909,R-ALL-113575;R-ALL-1614617;R-ALL-189481;R-ALL-29408;R-ALL-3341383;R-ALL-351629,OO
cell dry weight,,,,,,,,,,,,
total lipid,,,,,,,,,,,,
Hexa-histidine-tagged nukacin ISK-1 prepeptide NukA,,,,,,,,,,,,
Modified hexa-histidine-tagged nukacin ISK-1 prepeptide,,,,,,,,,,,,
Glucose Isomerase-Maltose Binding Protein Fusion,,,,,,,,,,,,
maltose binding protein–glucose isomerase fusion protein,,,,,,,,,,,,
glutamate,C00025,C00025,L-Glutamate,C5H9NO4,MNXM741173,cpd00023,glu__L,16015;29985;29988,GLT,73,R-ALL-113552;R-ALL-210382;R-ALL-210509;R-ALL-29404;R-ALL-428614,N[C@@H](CCC(=O)O)C(=O)O
glutamate,C00302,C00302,Glutamate,C5H9NO4,MNXM741172,cpd19002;cpd27177,,14321;18237;29987;76051,Glutamates,2010,,NC(CCC(=O)O)C(=O)O
l-isoleucine,C00407,C00407,L-Isoleucine,C6H13NO2,MNXM728337,cpd00322;cpd15139,ile__L,17191;32604;32605;38264;58045,ILE,23116;70,R-ALL-113537;R-ALL-30102;R-ALL-352001,CC[C@H](C)[C@H](N)C(=O)O
undecylprodigiosin,C12023,C12023,Undecylprodigiosin,C25H35N3O,MNXM1108533,cpd08816,,29702,,,,CCCCCCCCCCCc1ccc(/C=C2/N=C(c3ccc[nH]3)C=C2OC)[nH]1
actinorhodin,C06691,C06691,Actinorhodin,C32H26O14,MNXM735473,cpd04092,,,CPD1A0-6123,,,C[C@H]1O[C@H](CC(=O)O)CC2=C1C(=O)c1c(O)c(-c3cc(O)c4c(c3O)C(=O)C3=C(C[C@@H](CC(=O)O)O[C@@H]3C)C4=O)cc(O)c1C2=O
2.3-butanodiol,,,,,,,,,,,,
β-galactosidase,,,,,,,,,,,,
1-hexadecanol,C00823,C00823,1-Hexadecanol,C16H34O,MNXM725,cpd00613,,16125,CPD-348,2167,R-ALL-390440,CCCCCCCCCCCCCCCCO
fatty aldehyde,,,,,,,,,,,,
N-methylphenylalanine,,,,,,,,,,,,
dipicolinic acid,,,,,,,,,,,,
l-lactic acid,C00186,C00186,(S)-Lactate,C3H6O3,MNXM731835,cpd00159,lac__L,16651;422,L-LACTATE,1312,R-ALL-29708;R-ALL-373863,C[C@H](O)C(=O)O
"(2S,3S)-2,3-Butanediol",,,,,,,,,,,,
l-tryptophan,C00078,C00078,L-Tryptophan,C11H12N2O2,MNXM741553,cpd00065;cpd19007,trp__L,16828;27897;32702;32704;32727;32728;57912;64554,TRP,2164;85,R-ALL-29500;R-ALL-352006;R-ALL-379709,N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O
l-leucine,C00123,C00123,L-Leucine,C6H13NO2,MNXM1106761,cpd00107;cpd15143,,15603;25017;32619;32620;32627;32628;57427,LEU,21059;69,R-ALL-113580;R-ALL-29588;R-ALL-351964,CC(C)C[C@H](N)C(=O)O
"Lactate, Acetate, Ethanol",,,,,,,,,,,,
nerol,C09871,C09871,Nerol,C10H18O,MNXM740317,cpd06761,,29452,CPD-7978,11956,,CC(C)=CCC/C(C)=C\CO
Phenyllactic Acid,,,,,,,,,,,,
l-alanine,C00041,C00041,L-Alanine,C3H7NO2,MNXM1105732,cpd00035,ala__L,16977;32431;32432;57972;76050,L-ALPHA-ALANINE,67,R-ALL-29432;R-ALL-352036;R-ALL-379697;R-ALL-389664,C[C@H](N)C(=O)O
p-hydroxybenzyl alcohol,C17467,C17467,p-Hydroxybenzyl alcohol,C7H8O2,MNXM107505,cpd15378;cpd17595,4hba,67410,4-HYDROXY-BENZYL-ALCOHOL,26558,,OCc1ccc(O)cc1
vanillyl alcohol,C06317,C06317,Vanillyl alcohol,C8H10O3,MNXM4130,cpd03758,,18353,VANILLYL-ALCOHOL,8535,,COc1cc(CO)ccc1O
homopolymer poly(3-hydroxydecanoate)(P(3HD)),,,,,,,,,,,,
homopolymer poly(3-hydroxydecanoate,,,,,,,,,,,,
medium-chain-length polyhydroxyalkanoate,,,,,,,,,,,,
hetero-monomer medium-chain-length polyhydroxyalkanoate,,,,,,,,,,,,
3HD) + 3-hydroxydodecanoate,,,,,,,,,,,,
3-hydroxydodecanoate,,,,,,,,,,,,
L-Carnosine,,,,,,,,,,,,
L-homoserine,C00263,C00263,L-Homoserine,C4H9NO3,MNXM353,cpd00227,hom__L,15699;57476,HOMO-SER,2001,,N[C@@H](CCO)C(=O)O
τ-cadinol,,,,,,,,,,,,
rhamnolipid,,,,,,,,,,,,
"2,5-furan dicarboxylic acid",,,,,,,,,,,,
2-furan carboxylic acid,C01546,C01546,2-Furoate,C5H4O3,MNXM4290,cpd01089,,16739;30845,2-FUROATE,5653,,O=C(O)c1ccco1
iso fatty acids,,,,,,,,,,,,
Succinic acid,C00042,C00042,Succinate,C4H6O4,MNXM25,cpd00036,succ,15741;172952;30031;30779;90372,SUC,1924,R-ALL-113536;R-ALL-159939;R-ALL-1650769;R-ALL-29434;R-ALL-389583;R-ALL-433123,O=C(O)CCC(=O)O
4-hydroxyphenyllactate,C03672,C03672,3-(4-Hydroxyphenyl)lactate,C9H10O4,MNXM988,cpd02305;cpd02461,34hpl,10980;16003;17385;36659,4-HYDROXYPHENYLLACTATE;CPD-2222,6782,,O=C(O)C(O)Cc1ccc(O)cc1
D-panthenol,C05944,C05944,Pantothenol,C9H19NO4,MNXM740081,cpd03534,,27373,,,,CC(C)(CO)[C@@H](O)C(=O)NCCCO
"1,3-diaminopropane",C00986,C00986,"1,3-Diaminopropane",C3H10N2,MNXM350,cpd00726,13dampp,15725;57484,CPD-313,3090,R-ALL-204628,NCCCN
"1,4-diaminobutane",C00134,C00134,Putrescine,C4H12N2,MNXM118,cpd00118;cpd12215,ptrc,17148;172953;326268,PUTRESCINE,1941,R-ALL-141350;R-ALL-29610,NCCCCN
reactive sulfane sulfurs,,,,,,,,,,,,
roseobactin,,,,,,,,,,,,
metabolite,,,,,,,,,,,,
sulfur,C00087,C00087,Sulfur,S,MNXM1107418,cpd00074,s,26833;37979;37980;37981;37982;37983;37984;37985,Elemental-Sulfur,5001,R-ALL-2566513,[S]
methane,C01438,C01438,Methane,CH4,MNXM739586,cpd01024,,16183,CH4;METHYL-GROUP;Methylphenols,2285,,C
benzaldehyde lyase,,,,,,,,,,,,
recombinant human transferrin,,,,,,,,,,,,
formazan,,,,,,,,,,,,
tyrosol acetate,,,,,,,,,,,,
D-allitol,,,,,,,,,,,,
3-methylbutanal,C07329,C07329,3-Methylbutanal,C5H10O,MNXM1711,cpd04534,3mbald,16638,CPD-7031,9440,,CC(C)CC=O
biohydrogen,,,,,,,,,,,,
butenyl-spinosyn,,,,,,,,,,,,
indigo,,,,,,,,,,,,
extracellular lipase,,,,,,,,,,,,
Dry cell weight,,,,,,,,,,,,
catalase KatA,,,,,,,,,,,,
hydroxytyrosol,,,,,,,,,,,,
polynucleotide phosphorylase,,,,,,,,,,,,
Butyric acid,C00246,C00246,Butanoic acid,C4H8O2,MNXM458,cpd00211,but,17968;30772,BUTYRIC_ACID,1911,R-ALL-429760;R-ALL-76179,CCCC(=O)O
"1,3-Propanediol",C02457,C02457,"Propane-1,3-diol",C3H8O2,MNXM2861,cpd01618,13ppd,16109,CPD-347,2417,,OCCCO
para-aminophenylalanine,,,,,,,,,,,,
Transglutaminase,,,,,,,,,,,,
hydroxyl-ectoine,,,,,,,,,,,,
poly(3-hydroxybutyrate-co-12.2 mole percent 3-hydroxy-4-methylvalerate,,,,,,,,,,,,
poly(3-hydroxybutyrate-co-3-hydroxy-4-methylvalerate,,,,,,,,,,,,
protocatechuic Acid,C00230,C00230,"3,4-Dihydroxybenzoate",C7H6O4,MNXM1137687,cpd00197;cpd28658;cpd28745,,36062;36241,3-4-DIHYDROXYBENZOATE,1983,R-ALL-175977,O=C(O)c1ccc(O)c(O)c1
cell biomass,,,,,,,,,,,,
α-galactosidase,,,,,,,,,,,,
Adenosine Triphosphate,,,,,,,,,,,,
rhamnulose 1-phosphate aldolase,,,,,,,,,,,,
Acetic Acid,C00033,C00033,Acetate,C2H4O2,MNXM26,cpd00029,ac,15366;30089,ACET;CPD-24335,1278,R-ALL-113539;R-ALL-1524044;R-ALL-2022890;R-ALL-29416;R-ALL-372540;R-ALL-390305;R-ALL-427486;R-ALL-5566518,CC(=O)O
N-terminal peptide of narG fused to human growth hormone,,,,,,,,,,,,
l-aminopeptidase-d-amidase DmpA,,,,,,,,,,,,
dissimilatory nitrate reductase,,,,,,,,,,,,
dissimilatory nitrite reductase,,,,,,,,,,,,
alkaline cellulase Egl-237,,,,,,,,,,,,
l-phenylalanine,C00079,C00079,L-Phenylalanine,C9H11NO2,MNXM741664,cpd00066,phe__L,17295;176650;32486;32487;58095,PHE,2365;83,R-ALL-29502;R-ALL-351993;R-ALL-379701,N[C@@H](Cc1ccccc1)C(=O)O
plasmid,,,,,,,,,,,,
modified Thermophilic F1-ATPase,,,,,,,,,,,,
modified TF1-ATPase,,,,,,,,,,,,
Horseradish Peroxidase,,,,,,,,,,,,
neomycin-resistant colonies,,,,,,,,,,,,
recombinant cyprosin,,,,,,,,,,,,
2-methyl-1-propanol,C14710,C14710,Isobutyl alcohol,C4H10O,MNXM5188,cpd10408,ibutoh,46645,ISOBUTANOL,21962,,CC(C)CO
"2,2-dichloroacetic acid",,,,,,,,,,,,
4-(methylsulfonyl)benzoic acid,,,,,,,,,,,,
Acetyl-Chloramphenicol,,,,,,,,,,,,
chloramphenicol acetyltransferase,,,,,,,,,,,,
increased nitrogenase activity,,,,,,,,,,,,
recombinant human growth hormone,,,,,,,,,,,,
CelA-DocII,,,,,,,,,,,,
nitrite,C00088,C00088,Nitrite,HNO2,MNXM107,cpd00075,no2,16301;25567,NITRITE,3058,R-ALL-1222379;R-ALL-3697842,O=NO
2-ketoglutarate,,,,,,,,,,,,
poly(D-lactic acid,,,,,,,,,,,,
poly(D-lactic acid-co-3-hydroxybutyrate,,,,,,,,,,,,
A10 16mer,,,,,,,,,,,,
A5 16mer,,,,,,,,,,,,
recombinant silk protein,,,,,,,,,,,,
recombinant spider silk,,,,,,,,,,,,
spidroin constructs,,,,,,,,,,,,
A10 4mer,,,,,,,,,,,,
A5 4mer,,,,,,,,,,,,
A5 4mer BWT,,,,,,,,,,,,
recombinant silk,,,,,,,,,,,,
soluble protein,,,,,,,,,,,,
Taxus cuspidata taxadien-5α-hydroxylase,,,,,,,,,,,,
iso-taxadiene,,,,,,,,,,,,
Glucose Dehydrogenase,,,,,,,,,,,,
glucose depletion,,,,,,,,,,,,
(+)-geodin,,,,,,,,,,,,
human leptin,,,,,,,,,,,,
Recombinant 2-keto-3-deoxygluconate kinase,,,,,,,,,,,,
lipase,,,,,,,,,,,,
human growth hormone fused with Mxe GyrA intein and EFK8 aggregating tag,,,,,,,,,,,,
human growth hormone fused with Mxe GyrA intein and ELK16 tag,,,,,,,,,,,,
human growth hormone fused with Mxe GyrA intein and L6KD tag,,,,,,,,,,,,
human growth hormone fused with Mxe GyrA intein and α3-peptide,,,,,,,,,,,,
recombinant human serum albumin,,,,,,,,,,,,
N-acetylgalactosamine-6-sulfate sulfatase,,,,,,,,,,,,
glutaconate,,,,,,,,,,,,
Chromium(III,,,,,,,,,,,,
para-amino phenol,,,,,,,,,,,,
Tetracycline-degrading enzyme TetX,,,,,,,,,,,,
TetX-GFP fusion protein,,,,,,,,,,,,
α-Pinene,C09880,C09880,alpha-Pinene,C10H16,MNXM730814,cpd19099,appnn,36740,Alpha-pinene,,,CC1=CCC2CC1C2(C)C
thaxtomin A,,,,,,,,,,,,
Phenylpyruvate,C00166,C00166,Phenylpyruvate,C9H8O3,MNXM730221,cpd00143,phpyr,18005;30851,PHENYL-PYRUVATE,1957,R-ALL-2160466,O=C(O)C(=O)Cc1ccccc1
polyhydroxyalkanoates,,,,,,,,,,,,
Polyhydroxyalkanoate,,,,,,,,,,,,
Poly(3-hydroxyvalerate,,,,,,,,,,,,
S-adenosyl-l-methionine,C00019,C00019,S-Adenosyl-L-methionine,C15H22N6O5S,MNXM1102072,cpd00017;cpd33804,amet,142094;15414;33442;59789;67040,S-ADENOSYLMETHIONINE,1272,R-ALL-2162265;R-ALL-71284;R-ALL-77087,C[S+](CC[C@H](N)C(=O)[O-])C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O
Galβ-4GlcNAcβ-4GlcNAc,,,,,,,,,,,,
NI-acetylchitobiose,,,,,,,,,,,,
hexaacetylchitinbiose,,,,,,,,,,,,
recombinant human protein pre-proinsulin,,,,,,,,,,,,
Nicotinamide adenine dinucleotide hydride,,,,,,,,,,,,
valine,C16436,C16436,Valine,C5H11NO2,MNXM199,cpd00156;cpd15141,val__L,16414;176648;27266;32851;32852;32859;32860;57762;87977,VAL,23113;68,R-ALL-113540;R-ALL-29702;R-ALL-351992,CC(C)C(N)C(=O)O
unsaturated fatty acids,,,,,,,,,,,,
d-mannitol,C00392,C00392,Mannitol,C6H14O6,MNXM1104590,cpd00314,mnl,16899,MANNITOL,2037;3932,,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO
d-pantothenic acid,,,,,,,,,,,,
"2-Pyrone-4,6-dicarboxylic acid",,,,,,,,,,,,
26.10 IgG抗体,,,,,,,,,,,,
9c8 nanomolar affinity anti-complement factor C1S antibody,,,,,,,,,,,,
M18.1人源化抗保护性抗原(PA)抗体,,,,,,,,,,,,
Glutamate,C00025,C00025,L-Glutamate,C5H9NO4,MNXM741173,cpd00023,glu__L,16015;29985;29988,GLT,73,R-ALL-113552;R-ALL-210382;R-ALL-210509;R-ALL-29404;R-ALL-428614,N[C@@H](CCC(=O)O)C(=O)O
Glutamate,C00302,C00302,Glutamate,C5H9NO4,MNXM741172,cpd19002;cpd27177,,14321;18237;29987;76051,Glutamates,2010,,NC(CCC(=O)O)C(=O)O
P3HP monomer precursor,,,,,,,,,,,,
poly(3-hydroxypropionate,,,,,,,,,,,,
poly-(R)-3-hydroxybutyrate,,,,,,,,,,,,
n-hexanol,,,,,,,,,,,,
mannose-6-phosphate,,,,,,,,,,,,
rapamycin,C07909,C07909,Sirolimus,C51H79NO13,MNXM1106117,cpd04960,,125408;9168;94263,CPD-14676,,,CO[C@H]1C[C@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](O)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C
HY07,,,,,,,,,,,,
BIOT-4010,,,,,,,,,,,,
HY03,,,,,,,,,,,,
39-desmethoxyrapamycin,,,,,,,,,,,,
BC346,,,,,,,,,,,,
BC347,,,,,,,,,,,,
BC348,,,,,,,,,,,,
BIOT-4110,,,,,,,,,,,,
Streptomyces rapamycinicus mutant strain,,,,,,,,,,,,
3-hydroxybutyric acid,,,,,,,,,,,,
3-Hydroxybutyric acid units in Poly(lactate-co-3-hydroxybutyrate,,,,,,,,,,,,
Lactic Acid units in Poly(lactate-co-3-hydroxybutyrate,,,,,,,,,,,,
poly(lactate-co-3-hydroxybutyrate,,,,,,,,,,,,
2-keto-L-gulonic acid,C15673,C15673,2-Dehydro-L-idonate,C6H10O7,MNXM2177,cpd11314,,19543;36602,CPD-13059,2527,,O=C(O)C(=O)[C@@H](O)[C@H](O)[C@@H](O)CO
Green Fluorescent Protein mutant 3b,,,,,,,,,,,,
2-methyl-butyraldehyde,C02223,C02223,2-Methylbutanal,C5H10O,MNXM2604,cpd01499,2mbald,16182,METHYLBUT-CPD,2385,,CCC(C)C=O
2-methyl-butyrate,C18319,C18319,2-Methylbutyrate,C5H10O2,MNXM9859,cpd19585,,37070;48946,CPD-7076,,,CCC(C)C(=O)O
2-methylbutyric acid,C18319,C18319,2-Methylbutyrate,C5H10O2,MNXM9859,cpd19585,,37070;48946,CPD-7076,,,CCC(C)C(=O)O
3-methylbutanoic acid,C08262,C08262,3-Methylbutanoic acid,C5H10O2,MNXM1137662,cpd05178,ival,28484;48942,ISOVALERATE,10362,,CC(C)CC(=O)O
streptavidin,,,,,,,,,,,,
"1,2,4-butanetriol",,,,,,,,,,,,
nitrate,C00244,C00244,Nitrate,HNO3,MNXM732399,,,48107,CPD-15028,1988,,O=[N+]([O-])O
2-ketoisovaleric acid,,,,,,,,,,,,
1-alkenes,,,,,,,,,,,,
heptane,,,,,,,,,,,,
medium chain fatty acids,,,,,,,,,,,,
nonane,,,,,,,,,,,,
caffeoyl dopamine,,,,,,,,,,,,
caffeoyl tyramine,,,,,,,,,,,,
Caffeic acid,C01197,C01197,Caffeate,C9H8O4,MNXM726800,cpd00881;cpd22503;cpd30744,34dhcinm;dhcinnm,16433;36281;57770,CAFFEATE;CPD-676,5437;5610,,O=C(O)/C=C/c1ccc(O)c(O)c1
Caffeic acid,C01481,C01481,Caffeate,C9H8O4,MNXM726800,cpd00881;cpd22503;cpd30744,34dhcinm;dhcinnm,16433;36281;57770,CAFFEATE;CPD-676,5437;5610,,O=C(O)/C=C/c1ccc(O)c(O)c1
caffeic acid 4-hydroxyphenethyl ester,,,,,,,,,,,,
caffeic acid phenethyl amide,,,,,,,,,,,,
D-phenyllactic acid,,,,,,,,,,,,
Corallopyronin A,,,,,,,,,,,,
corallopyronins,,,,,,,,,,,,
myxopyronin A,,,,,,,,,,,,
myxopyronins,,,,,,,,,,,,
"1,5-diacetoxypentane",,,,,,,,,,,,
4-hydroxy butyl acetate,,,,,,,,,,,,
acetoxyalkanes,,,,,,,,,,,,
alcohol acetate,,,,,,,,,,,,
